"","ACCENT","GENDER","SPEAKER","SPEAKER.NO","FEATURE.NAME","FEATURE.VALUE"
"1","brm","f","brm_f_01",1,"STRUT.FOOT",44.9144697019409
"2","brm","f","brm_f_01",1,"STRUT.FOOT",46.0276366534802
"3","brm","f","brm_f_01",1,"STRUT.FOOT",49.21849920284
"4","brm","f","brm_f_01",1,"STRUT.FOOT",43.1445668844342
"5","brm","f","brm_f_01",1,"STRUT.FOOT",32.0317493083199
"6","brm","f","brm_f_01",1,"STRUT.FOOT",37.7633896742253
"7","brm","f","brm_f_01",1,"STRUT.FOOT",45.0541935365045
"8","brm","f","brm_f_01",1,"STRUT.FOOT",46.8579491596604
"9","brm","f","brm_f_01",1,"STRUT.FOOT",45.5432213219279
"10","brm","f","brm_f_01",1,"STRUT.FOOT",44.67849041641
"11","brm","f","brm_f_01",1,"STRUT.FOOT",28.4100017528756
"12","brm","f","brm_f_01",1,"STRUT.FOOT",33.4661074914572
"13","brm","f","brm_f_01",1,"STRUT.FOOT",49.8886181082797
"14","brm","f","brm_f_01",1,"STRUT.FOOT",51.9380751670563
"15","brm","f","brm_f_01",1,"STRUT.FOOT",48.5943843839211
"16","brm","f","brm_f_01",1,"STRUT.FOOT",50.502697909884
"17","brm","f","brm_f_01",1,"STRUT.FOOT",31.6809179991515
"18","brm","f","brm_f_01",1,"STRUT.FOOT",39.836620218759
"19","brm","f","brm_f_01",1,"STRUT.FOOT",37.1948559621149
"20","brm","f","brm_f_01",1,"STRUT.FOOT",37.1305705863297
"21","brm","f","brm_f_01",1,"STRUT.FOOT",38.6422887305907
"22","brm","f","brm_f_01",1,"STRUT.FOOT",39.2028268161397
"23","brm","f","brm_f_01",1,"STRUT.FOOT",25.1957064112858
"24","brm","f","brm_f_01",1,"STRUT.FOOT",30.2385897003952
"25","brm","f","brm_f_01",1,"STRUT.FOOT",34.6517136075426
"26","brm","f","brm_f_01",1,"STRUT.FOOT",35.8293442077799
"27","brm","f","brm_f_01",1,"STRUT.FOOT",31.5567867191937
"28","brm","f","brm_f_01",1,"STRUT.FOOT",43.2837117010284
"29","brm","f","brm_f_01",1,"STRUT.FOOT",40.1949006599163
"30","brm","f","brm_f_01",1,"STRUT.FOOT",22.5222199910782
"31","brm","f","brm_f_01",1,"STRUT.FOOT",33.5642924734166
"32","brm","f","brm_f_01",1,"STRUT.FOOT",33.696863867584
"33","brm","f","brm_f_01",1,"STRUT.FOOT",28.2584574083599
"34","brm","f","brm_f_01",1,"STRUT.FOOT",37.4832140787383
"35","brm","f","brm_f_01",1,"STRUT.FOOT",33.764865035517
"36","brm","f","brm_f_01",1,"STRUT.FOOT",22.4923718501578
"37","brm","f","brm_f_01",1,"BATH",0.947444797194612
"38","brm","f","brm_f_01",1,"BATH",0.961917790884659
"39","brm","f","brm_f_01",1,"BATH",1.01299279696492
"40","brm","f","brm_f_01",1,"BATH",1.1159884639761
"41","brm","f","brm_f_01",1,"BATH",1.00068315928458
"42","brm","f","brm_f_01",1,"BATH",0.995058615823933
"43","brm","f","brm_f_01",1,"BATH",1.19531932133077
"44","brm","f","brm_f_01",1,"BATH",1.00679701684841
"45","brm","f","brm_f_01",1,"BATH",0.730043925785563
"46","brm","f","brm_f_01",1,"BATH",0.739674509522835
"47","brm","f","brm_f_01",1,"BATH",0.809590078611221
"48","brm","f","brm_f_01",1,"BATH",1.02586709635812
"49","brm","f","brm_f_01",1,"BATH",1.04153805476792
"50","brm","f","brm_f_01",1,"BATH",1.09684066272902
"51","brm","f","brm_f_01",1,"BATH",1.20836153040077
"52","brm","f","brm_f_01",1,"BATH",1.08351212654227
"53","brm","f","brm_f_01",1,"BATH",1.07742202600512
"54","brm","f","brm_f_01",1,"BATH",1.29425879483982
"55","brm","f","brm_f_01",1,"BATH",1.09013204289531
"56","brm","f","brm_f_01",1,"BATH",0.790471428601538
"57","brm","f","brm_f_01",1,"BATH",0.80089915906567
"58","brm","f","brm_f_01",1,"BATH",0.876601809038843
"59","brm","f","brm_f_01",1,"BATH",0.908046101434967
"60","brm","f","brm_f_01",1,"BATH",0.921917247843976
"61","brm","f","brm_f_01",1,"BATH",0.970868342714387
"62","brm","f","brm_f_01",1,"BATH",1.0695810214595
"63","brm","f","brm_f_01",1,"BATH",0.959070590973272
"64","brm","f","brm_f_01",1,"BATH",0.953679939426169
"65","brm","f","brm_f_01",1,"BATH",1.14561297177227
"66","brm","f","brm_f_01",1,"BATH",0.964930208907741
"67","brm","f","brm_f_01",1,"BATH",0.699685662582927
"68","brm","f","brm_f_01",1,"BATH",0.708915766588001
"69","brm","f","brm_f_01",1,"BATH",0.775923955485444
"70","brm","f","brm_f_01",1,"PALM.TRAP",30.9674529528479
"71","brm","f","brm_f_01",1,"PALM.TRAP",21.5652767811469
"72","brm","f","brm_f_01",1,"PALM.TRAP",22.6466384588123
"73","brm","f","brm_f_01",1,"PALM.TRAP",31.8536017533512
"74","brm","f","brm_f_01",1,"PALM.TRAP",32.7482422080108
"75","brm","f","brm_f_01",1,"PALM.TRAP",25.8015506919199
"76","brm","f","brm_f_01",1,"PALM.TRAP",30.2528885088864
"77","brm","f","brm_f_01",1,"PALM.TRAP",32.2008958710932
"78","brm","f","brm_f_01",1,"PALM.TRAP",40.351278272664
"79","brm","f","brm_f_01",1,"PALM.TRAP",37.2378291181882
"80","brm","f","brm_f_01",1,"PALM.TRAP",38.9619897591478
"81","brm","f","brm_f_01",1,"PALM.TRAP",32.2813190992807
"82","brm","f","brm_f_01",1,"PALM.TRAP",23.2736364768486
"83","brm","f","brm_f_01",1,"PALM.TRAP",22.5205923411808
"84","brm","f","brm_f_01",1,"PALM.TRAP",31.8319086209378
"85","brm","f","brm_f_01",1,"PALM.TRAP",33.1233739661628
"86","brm","f","brm_f_01",1,"PALM.TRAP",29.6813211748949
"87","brm","f","brm_f_01",1,"PALM.TRAP",32.3417691312389
"88","brm","f","brm_f_01",1,"PALM.TRAP",34.1048943275123
"89","brm","f","brm_f_01",1,"PALM.TRAP",42.5083852324968
"90","brm","f","brm_f_01",1,"PALM.TRAP",35.2930711849853
"91","brm","f","brm_f_01",1,"PALM.TRAP",42.3825306062771
"92","brm","f","brm_f_01",1,"PALM.TRAP",26.1388524671789
"93","brm","f","brm_f_01",1,"PALM.TRAP",21.4394530578062
"94","brm","f","brm_f_01",1,"PALM.TRAP",26.5973417540097
"95","brm","f","brm_f_01",1,"PALM.TRAP",30.6948728686533
"96","brm","f","brm_f_01",1,"PALM.TRAP",25.7430571613041
"97","brm","f","brm_f_01",1,"PALM.TRAP",24.2951023541721
"98","brm","f","brm_f_01",1,"PALM.TRAP",26.573067468871
"99","brm","f","brm_f_01",1,"PALM.TRAP",29.1502596516768
"100","brm","f","brm_f_01",1,"PALM.TRAP",38.7828250648229
"101","brm","f","brm_f_01",1,"PALM.TRAP",29.5353639296075
"102","brm","f","brm_f_01",1,"PALM.TRAP",39.1086543712339
"103","brm","f","brm_f_01",1,"START",10.0587076518406
"104","brm","f","brm_f_01",1,"START",15.8430279180596
